[INFO|2025-02-01 16:42:09,322 | __main__] Running with args: {'uni': True, 'code': False, 'model': 'gpt-4o-mini-2024-07-18'}
[INFO|2025-02-01 16:42:09,322 | root] Running multiple choice challange with uni model gpt-4o-mini-2024-07-18
[INFO|2025-02-01 16:42:15,927 | multiple_choice] Generated 63 | 7 | 12032
[INFO|2025-02-01 16:42:15,928 | shared] Executing genetic algorithm
[INFO|2025-02-01 16:42:15,928 | shared] Using
[INFO|2025-02-01 16:42:15,928 | shared] Population size:	8
[INFO|2025-02-01 16:42:15,928 | shared] Generations:	10
[INFO|2025-02-01 16:42:15,928 | shared] Crossover rate:	8
[INFO|2025-02-01 16:42:15,928 | shared] Mutation rate:	0.4
[INFO|2025-02-01 16:42:15,928 | shared] Writing to /home/simon/Documents/Uni/seminar_prompt_engineering/src/results/1738424529_uni_qa_qLlaqzBO/train.json
[INFO|2025-02-01 16:42:15,929 | shared] Writing to /home/simon/Documents/Uni/seminar_prompt_engineering/src/results/1738424529_uni_qa_qLlaqzBO/val.json
[INFO|2025-02-01 16:42:15,929 | shared] Writing to /home/simon/Documents/Uni/seminar_prompt_engineering/src/results/1738424529_uni_qa_qLlaqzBO/test.json
[INFO|2025-02-01 16:42:26,825 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:42:26,826 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:42:26,828 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:42:26,829 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:42:26,830 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:42:26,831 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:42:26,832 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:42:26,833 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:42:55,217 | shared] Writing to /home/simon/Documents/Uni/seminar_prompt_engineering/src/results/1738424529_uni_qa_qLlaqzBO/population_0.json
[INFO|2025-02-01 16:42:55,220 | shared] Stats: 0.8571428571428571 | 0.6428571428571428 | 0.42857142857142855
[INFO|2025-02-01 16:42:56,230 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:42:56,232 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:42:56,234 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:42:56,250 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:43:18,049 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:43:21,904 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:43:49,039 | shared] Writing to /home/simon/Documents/Uni/seminar_prompt_engineering/src/results/1738424529_uni_qa_qLlaqzBO/population_1.json
[INFO|2025-02-01 16:43:49,043 | shared] Stats: 0.8571428571428571 | 0.7142857142857143 | 0.5714285714285714
[INFO|2025-02-01 16:43:49,912 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:43:50,132 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:43:50,134 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:43:50,595 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:43:55,284 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:43:56,070 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:43:56,148 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:44:14,411 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:44:19,654 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:44:27,583 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:44:28,874 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:44:33,475 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:44:48,672 | shared] Writing to /home/simon/Documents/Uni/seminar_prompt_engineering/src/results/1738424529_uni_qa_qLlaqzBO/population_2.json
[INFO|2025-02-01 16:44:48,677 | shared] Stats: 0.8571428571428571 | 0.7678571428571428 | 0.7142857142857143
[INFO|2025-02-01 16:44:49,661 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:44:52,187 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:44:52,936 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:45:10,657 | shared] Writing to /home/simon/Documents/Uni/seminar_prompt_engineering/src/results/1738424529_uni_qa_qLlaqzBO/population_3.json
[INFO|2025-02-01 16:45:10,662 | shared] Stats: 0.8571428571428571 | 0.8035714285714286 | 0.7142857142857143
[INFO|2025-02-01 16:45:11,400 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:45:11,534 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:45:11,534 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:45:11,535 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:45:12,292 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:45:29,583 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:45:34,638 | multiple_choice] Collecting responses
