#,Publication Year,Author,Einordung (Idee),Title,Zusammenfassung,Promptart,Optimierungsmethodik,Untersuchte Anwendungsgebiete,Verbesserung der Modellleistung,Evalutionsmetriken,Generalisierbarkeit in den Studien,# Zitationen,,
1,2024,"Lococ, Damien; Ivanov, Samuel; Kowalski, James; Montoya, Edward",Modellbasierte Methoden,Token-level Optimization for Enhanced Text Generation: A Prompt Engineering Framework with Large Language Models,Entwicklung eines token-level-guided automatic prompt optimization (TAPO) Framework mit Feedback Mechanismus auf Embedding-Ebene.,Soft-Prompt,Anpassungen auf Token-level während Textgenerierung mit Feedback-Loop innerhalb des Modells.,"Textverständnis, Übersetzung, Textgenerierung",Ja,"Perplexity, BLEU Score, Factual Accuracy",Nein,11,,
2,2023,"Zhang, Zhihan; Wang, Shuohang; Yu, Wenhao; Xu, Yichong; Iter, Dan; Zeng, Qingkai; Liu, Yang; Zhu, Chenguang; Jiang, Meng",Modellbasierte Methoden,Auto-Instruct: Automatic Instruction Generation and Ranking for Black-Box Language Models,"Erzeugen von Kanidaten-Prompts anhand von gegebenem Seed-Prompt. Kanidaten werden geranked und ausgewählt. Ziel ist das optimieren für Prompts bei neuen Einsatzszenarien.

Es wird mit Beispielen gearbeitet. Verschiedene Metaprompts werden getestet Auswahl über Ranking Modell, was an Beispielaufgaben trainiert wird und Prompts für neue Aufgaben ranked. Ranking-Modell wird evaluiert.",Hard-Prompt,"Task-Prompterzeugung durch ChatGPT (Black-Box-Model), Selection durch Fine-Tuned-Modell",Generalisierungsfähigkeit,Ja,"Win Rate (vs Human), Accuracy",Ja,15,,
3,2023,"Pryzant, Reid; Iter, Dan; Li, Jerry; Lee, Yin Tat; Zhu, Chenguang; Zeng, Michael","Gradientenbasierte Methoden, Modellbasierte Methoden","Automatic Prompt Optimization with ""Gradient Descent"" and Beam Search","Gradient Descent mit Prompts und Beam Search für besten Prompt. Nur Black Box Prompting, kein spezielles Modell notwendig. ",Hard-Prompt,Gradient Descent auf Hard-Prompts,Textklassifikation,Ja,F1 Score,Nein,219,,
4,2024,"Yilar, Jonathan; Foster, Olivia; Woods, Benjamin","Modellbasierte Methoden, Augmentation",Recursive In-Context Learning for Autonomous Prompt Generation in Large Language Models: A Self-Instructed Approach,"Prompt Refinement mit In-Context Learning. BLEU, ROUGE, BERTScore werden als Bewertungskriterien für den Prompt genutzt.",Hard-Prompt,LLM generiert neuen Prompt anhand von Feedback.,"Technisches schreiben, Zusammenfassung, Konversationsagent",Ja,"BLEU Score, BERT Score, Diversity Score",Innerhalb der Domäne,16,,
5,2024,"Mañas, Oscar; Astolfi, Pietro; Hall, Melissa; Ross, Candace; Urbanek, Jack; Williams, Adina; Agrawal, Aishwarya; Romero-Soriano, Adriana; Drozdzal, Michal",Modellbasierte Methoden,Improving Text-to-Image Consistency via Automatic Prompt Optimization,LLM erzeugt neue Text zu Bild Prompts anhand von Beispielen und Meta-Prompt,Hard-Prompt,Prompts werden zur Bildgenerierung genutzt. Bild wird Bewertet. Bewertung und Prompt wird in ein LLM zur Optimisierung gegeben,Bildgenerierung,Ja,"Davidsonian Scene Graph score, CLIP Score, FID Score",Nein,15,x,
6,2022,"Zhang, Zhuosheng; Zhang, Aston; Li, Mu; Smola, Alex",Automatisierung bestehender Prompt-Engineering Methoden,Automatic Chain of Thought Prompting in Large Language Models,"Automatisiert Chain of Thought Prompting mit zwei Schritten. Erstens Clustering von Fragen. Danach wähle Fragen aus und generiere Reasoning Chains, welche als Beispiele dienen. Prompt wird danach mit Beispielen erweitert.",Hard-Prompt,"Automatisches Chain of Thought, Fragen Clustering und Auswahl",Argumentation,Ja,Accuracy,Nein,717,,
7,2024,"Wen, Yuxin; Jain, Neel; Kirchenbauer, John; Goldblum, Micah; Geiping, Jonas; Goldstein, Tom",Gradientenbasierte Methoden,Hard Prompts Made Easy: Gradient-Based Discrete Optimization for Prompt Tuning and Discovery,Hard-Prompts werden durch „Inversion“ zu Soft-Prompts. Diese werden Optimisiert in dem sie transformiert und Gradienten bestimmt werden.,"Hard-Prompt, Soft-Prompt",Hard-Prompts werden mit Prompt Inversion und Gradient basierter Optimierung gesucht.,Bildgenerierung,Ja,CLIP Score,Nein,196,,Gute Beschreibung von Hard- und Softprompts
8,2024,"Levi, Elad; Brosh, Eli; Friedmann, Matan",Augmentation,Intent-based Prompt Calibration: Enhancing prompt optimization with synthetic boundary cases,Erzeugt synthetische Beispiele für In-Context Learning und automatisches Few-Shot-Prompting. Externes Modell zur Prompt bewertung.,Hard-Prompt,Generiert Beispiele für In-Context learning.,"Textklassifikation, Textgenerierung",Ja,Accuracy,Nein,2,,
9,2024,S. Liu; S. Yu; Z. Lin; D. Pathak; D. Ramanan,"Gradientenbasierte Methoden, Modellbasierte Methoden",Language Models as Black-Box Optimizers for Vision-Language Models,Nutzten LLMs zum Generieren von neuen Prompts. Initial werden positive wie negative Beispiele gegeben und bei jedem Schritt eine Bewertung mitgegeben. Modell kann impliziten „Gradienten“ nutzen. CLIP wird als LVM Model zur Bewertung genutzt.,Hard-Prompt,LLM als automatischer Prompt Engineer für VLMs.,"Bildgenerierung, Textklassifikation",Ja,"Accuracy, Faithfulness Score, Likert scale score, ",Nein,22,,
10,2024,F. Ma; X. Liang; M. Tao,Pruning,LinguaShrink: Reducing Token Overhead With Psycholinguistics,Training von Kompressionsmodell. Ziel ist die Kompression von Prompts für kleiner Eingaben mit möglichst wenig Informationsverlust,Hard-Prompt,Prompt Compressor wird trainiert und zum Komprimieren von Prompts genutzt.,"Argumentation, Textverständnis, Übersetzung, Zusammenfassung",Ja,"BLEU Score, ROUGE Score, F1 Score, CSE Score",Nein,0,x,
